"_id","_rev","roomRef","joined","LPG_MQ9_Level","CH4_MQ9_Level","CO_MQ9_Level","CO_MQ135_Level","Alcool_MQ135_Level","CO2_MQ135_Level","Toluen_MQ135_Level","MH4_MQ135_Level","Aceton_MQ135_Level","O3_MQ131_Level","Temperatura_Level","Humidade_Level","QualityAirConcept","CO_MQ9_Level_IQAR","CO_MQ135_Level_IQAR","O3_MQ131_Level_IQAR","CalcHeatIndex","TargetConcept"
"0bd9aea1-a166-48ff-a863-2c0133523d89","1-064811cb867a25ed19060b6c73f1a586","sensor_002-room:002","29/02/24,17:24",6.84,10.17,3.59,1.52,0.61,1.42,0.24,2.38,0.21,4.86,32.3,71,"Boa",17.77777777777778,8.88888888888889,2,41.68879935638023,"Perigo:  cãibras e exaustão pelo calor são prováveis; a insolação é provável com atividade contínua."
"0cfd1123-fb70-4e96-9742-db36a06b166a","2-068d4d8f3f96f273a5bd582108134de1","sensor_001-room:001","01/03/24,17:46",5.04,7.03,2.63,3980.35,353.73,434.43,233.62,333.65,173.76,4.57,,,"Péssima",13.333333333333334,400,2,,"Não encontrado"
"0d102263-6979-4fe3-836d-caaa948738ec","1-5e0c12044c1103376c555eb1179d6d8d","sensor_001-room:001","01/03/24,11:41",5.88,8.48,3.08,5.2,1.66,3.48,0.7,5.15,0.59,5.28,,,"Boa",13.333333333333334,22.22222222222222,2,,"Não encontrado"
"0d1a5671-ec74-4c18-9ebc-e98bf03da4ed","1-16578d3e949654896cb0307c670d8da5","sensor_001-room:001","01/03/24,15:39",9.28,14.73,4.91,4.38,1.44,3.07,0.6,4.62,0.51,6.42,28,69,"Boa",22.22222222222222,17.77777777777778,2.4000000000000004,30.53506764574418,"Cuidado: a fadiga é possível com exposição e atividade prolongadas. A atividade contínua pode resultar em cãibras causadas pelo calor."
"0d7fd72d-06f6-4b2e-aeae-2af37a44c2de","2-4f6ba474bfcb05540efe33410259b8aa","sensor_001-room:001","01/03/24,16:59",5.35,7.56,2.79,4920.91,419.84,506.86,281.27,381.21,208.34,4.78,,,"Péssima",13.333333333333334,400,2,,"Não encontrado"
"0eeb89b6-ffba-4bba-a0bb-4a4d9df4e9c4","2-3b78d5e9238e1d957982bb0c16d6049b","sensor_001-room:001","01/03/24,13:11",10.88,17.86,5.78,1873695.75,50995.62,38096.93,50965.25,15928.78,33660.1,4.46,,,"Péssima",26.666666666666668,400,1.6,,"Não encontrado"
"0eeee777-f453-4794-881d-bcdb6a114f71","2-d23da4d74a85ea65fc3498db472f5aa8","sensor_001-room:001","01/03/24,17:36",5.37,7.59,2.8,4154.9,366.21,448.19,242.56,342.77,180.26,4.71,,,"Péssima",13.333333333333334,400,2,,"Não encontrado"
"102100c0-e963-4073-90c2-644171e47d80","1-b6f29320ac613226c959920e90dcde6c","sensor_002-room:002","29/02/24,16:33",7.62,11.6,4.01,2.48,0.91,2.03,0.37,3.23,0.31,5.15,31.3,72,"Boa",17.77777777777778,8.88888888888889,2,39.06695666758483,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"107353c3-bf3f-4108-880d-090e303c0b88","2-ef37f1b28b3e9012fd5603ddc2931f32","sensor_001-room:001","01/03/24,14:36",8.16,12.61,4.31,7843.97,611.84,711.35,422.97,510.92,310.5,4.59,,,"Péssima",17.77777777777778,400,2,,"Não encontrado"
"135164c1-da21-4602-b7d0-0aee965740fe","2-7e42adc709db6765b7f70bcca4659b93","sensor_001-room:001","01/03/24,18:06",5.89,8.49,3.08,6030.32,494.77,587.59,336.03,433.14,247.93,4.81,,,"Péssima",13.333333333333334,400,2,,"Não encontrado"
"136edf2f-502c-4b31-8a30-64270423e0c8","2-2846fe2b3c384310a54e3d0b798e3ec1","sensor_001-room:001","01/03/24,13:41",9.28,14.72,4.91,28329.12,1726.25,1809.27,1301.09,1144.64,931.73,4.52,,,"Péssima",22.22222222222222,400,2,,"Não encontrado"
"13cdb8ed-18d2-4ee6-a6b4-90cbe7164c37","2-06d0aa9d27f4c2a3061082dad3545605","sensor_001-room:001","01/03/24,16:50",4.79,6.61,2.49,4508.98,391.22,475.65,260.55,360.84,193.33,4.55,,,"Péssima",8.88888888888889,400,2,,"Não encontrado"
"143207be-a6c8-4b79-a9ed-01c0dc3b3623","2-de164d6ad94fa97d9b6458f414d8d58f","sensor_001-room:001","01/03/24,16:30",3.83,5.04,1.98,4696.85,404.33,489.97,270.03,370.21,200.2,4.43,,,"Péssima",8.88888888888889,400,1.6,,"Não encontrado"
"146a83de-4394-4c61-8d13-8e0c1e57c8ff","2-7787418113cd1fdae5197e22bfb43f4a","sensor_001-room:001","01/03/24,17:22",4.5,6.14,2.34,3227.7,298.64,373.03,194.47,292.49,145.23,4.38,,,"Péssima",8.88888888888889,400,1.6,,"Não encontrado"
"148334ee-51fa-4b55-b83d-3be0bb2d71be","2-cfb03e6babbb7f8e4b8acf9680edaaeb","sensor_001-room:001","01/03/24,17:44",5.07,7.09,2.64,4106.57,362.76,444.4,240.09,340.26,178.46,4.57,,,"Péssima",13.333333333333334,400,2,,"Não encontrado"
"148dab04-1b0c-49ea-b344-19a5b44638df","2-c660d5da6948d8297b90e266c3845c8d","sensor_001-room:001","01/03/24,18:05",5.74,8.23,3,5745.81,475.83,567.3,322.12,420.18,237.89,4.77,,,"Péssima",13.333333333333334,400,2,,"Não encontrado"
"157e70c7-6c6b-4ee0-8c83-fe933bd4f0af","2-1acc9f62154900bb084a32590f6453e8","sensor_001-room:001","01/03/24,17:33",5.16,7.23,2.69,3964.84,352.62,433.19,232.82,332.84,173.18,4.6,,,"Péssima",13.333333333333334,400,2,,"Não encontrado"
"162645f9-3a07-4583-86ec-2e789fabb28c","2-499678502a1c0aa76059b7c0de7b3d57","sensor_001-room:001","01/03/24,17:11",4.09,5.46,2.12,2795.01,265.86,335.97,171.46,267.21,128.4,4.24,,,"Péssima",8.88888888888889,400,1.6,,"Não encontrado"
"16536056-2c15-40f2-8c89-2ff3c756e34a","2-546d8ef0a968638a51f58def0d498329","sensor_001-room:001","01/03/24,11:46",12.15,20.42,6.48,173,28.1,44.45,15.03,46.54,11.87,8.69,,,"Péssima",26.666666666666668,400,3.6,,"Não encontrado"
"1734cd0b-5412-4248-b478-83cca6464975","2-9df528dd30cc642d0652e5c1cc9e8fd7","sensor_001-room:001","01/03/24,17:52",5.07,7.09,2.64,4163,366.78,448.83,242.97,343.19,180.56,4.55,,,"Péssima",13.333333333333334,400,2,,"Não encontrado"
"17fe9e0a-4015-47c7-8045-59fbec8d1a1e","2-c08caa9c39a5e6b168d15f31664fda35","sensor_001-room:001","01/03/24,16:28",3.68,4.8,1.9,3988.13,354.29,435.04,234.02,334.06,174.05,4.34,,,"Péssima",8.88888888888889,400,1.6,,"Não encontrado"
"18a8d06e-a989-43be-b8ad-6f4916a22e6f","1-1519b3137aa70fc3360ea1d9b89ab037","sensor_001-room:001","01/03/24,15:44",9.28,14.73,4.91,3.52,1.21,2.62,0.5,4.03,0.42,6.4,28,69,"Boa",22.22222222222222,17.77777777777778,2.4000000000000004,30.53506764574418,"Cuidado: a fadiga é possível com exposição e atividade prolongadas. A atividade contínua pode resultar em cãibras causadas pelo calor."
"18e55c43-2f1c-4d39-974b-c9aea9c87c46","2-84ab97a5c7875ebd91dddd0fa24c0f22","sensor_001-room:001","01/03/24,16:37",4.05,5.39,2.1,3926.32,349.85,430.13,230.84,330.8,171.74,4.36,,,"Péssima",8.88888888888889,400,1.6,,"Não encontrado"
"1917035c-a330-4f51-8b96-7d6a71975b80","2-71662cfe6134f902acb69b632f838b91","sensor_001-room:001","01/03/24,16:23",3.78,4.95,1.95,3688.24,332.61,411.01,218.55,318.05,162.79,4.38,,,"Péssima",8.88888888888889,400,1.6,,"Não encontrado"
"1b2666ad-1b98-489a-a072-9a4a2b4a7f34","2-d4191e79d0633644714d9fe47747111b","sensor_001-room:001","01/03/24,17:27",4.73,6.51,2.46,3464.13,316.19,392.7,206.88,305.77,154.28,4.5,,,"Péssima",8.88888888888889,400,2,,"Não encontrado"
"1b6e85a9-53ec-47f8-a168-8d58b31d673d","1-2c0063f290059c3ee2537bc2277fb14c","sensor_001-room:001","01/03/24,15:02",6.75,10.01,3.54,43.55,9.22,16.31,4.49,19.57,3.65,5.05,,,"Péssima",17.77777777777778,364.88235294117646,2,,"Não encontrado"
"1ea9796f-efc5-4da2-8a0a-e4208810a59f","2-d10134695491414b105794102117bebc","sensor_001-room:001","01/03/24,17:14",4.14,5.54,2.14,2526.31,245.02,312.17,156.94,250.77,117.76,4.26,,,"Péssima",8.88888888888889,400,1.6,,"Não encontrado"
"208f8524-283d-4d0f-aab5-cac3f3a640e5","1-00cfea8abd5874bcc079d4a4648340d1","sensor_002-room:002","29/02/24,13:32",7.01,10.48,3.68,2.23,0.84,1.88,0.33,3.03,0.29,5.23,29.8,75,"Boa",17.77777777777778,8.88888888888889,2,35.757227789305055,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"23a3bc82-e439-44d6-87d1-b984240383c8","1-1c3fac226f04b17646690553f3b9f075","sensor_001-room:001","01/03/24,15:37",8.18,12.65,4.32,4.05,1.35,2.9,0.56,4.4,0.48,6.03,28,69,"Boa",17.77777777777778,17.77777777777778,2.4000000000000004,30.53506764574418,"Cuidado: a fadiga é possível com exposição e atividade prolongadas. A atividade contínua pode resultar em cãibras causadas pelo calor."
"24e26b9c-f51a-408b-b8d5-d34dad6154c0","1-fec848f6e71a1225aa307ef80403cffc","sensor_001-room:001","01/03/24,15:42",8.64,13.5,4.56,3.52,1.21,2.62,0.5,4.03,0.42,6.3,28,69,"Boa",22.22222222222222,17.77777777777778,2.4000000000000004,30.53506764574418,"Cuidado: a fadiga é possível com exposição e atividade prolongadas. A atividade contínua pode resultar em cãibras causadas pelo calor."
"2530ed38-f0d6-4095-9d8b-aef679a814c0","2-345f7558b6b405b86f73e6d8ccca91d0","sensor_001-room:001","01/03/24,18:08",5.71,8.17,2.98,5756.93,476.57,568.1,322.66,420.7,238.28,4.78,,,"Péssima",13.333333333333334,400,2,,"Não encontrado"
"2566ee80-b23c-4f3f-b4ef-a5be7531c1c6","2-5c8d8e557d1429f354673b01f84e0c18","sensor_001-room:001","01/03/24,16:27",3.96,5.25,2.05,4345.31,379.7,463.03,252.26,352.56,187.3,4.43,,,"Péssima",8.88888888888889,400,1.6,,"Não encontrado"
"25d964c2-4848-4825-aa85-e32cd40de10a","2-0cc3f8a436e98d5690e69b22e20399b6","sensor_001-room:001","01/03/24,17:18",4.35,5.88,2.26,3215.04,297.69,371.96,193.8,291.77,144.74,4.38,,,"Péssima",8.88888888888889,400,1.6,,"Não encontrado"
"262c521a-e16f-48fc-98fe-700795cb19fb","2-56f866e975106b6ded29adf4c7183f65","sensor_001-room:001","01/03/24,16:58",5.01,6.97,2.61,4561.9,394.92,479.7,263.23,363.49,195.27,4.66,,,"Péssima",13.333333333333334,400,2,,"Não encontrado"
"26cacc01-0f7c-4827-a367-819521ed3f16","1-1b570debdedb589737e771f0eaf0ef5c","sensor_002-room:002","29/02/24,15:07",7.38,11.16,3.88,2.27,0.85,1.9,0.34,3.06,0.29,4.98,31.3,73,"Boa",17.77777777777778,8.88888888888889,2,39.40094385767382,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"29d88b06-e247-4ecd-a879-0c3b76fe10d7","2-3113cca48aa68cfbd40ee46c803601c9","sensor_001-room:001","01/03/24,14:06",8.93,14.06,4.72,18348.44,1215.46,1319.4,889.71,871.32,642.5,4.68,,,"Péssima",22.22222222222222,400,2,,"Não encontrado"
"29f662d6-e8b8-41bc-8d99-3b83f44b9150","2-06065b0f8467ac60d5db91e0c130fd96","sensor_001-room:001","01/03/24,18:05",5.82,8.36,3.04,5646.65,469.18,560.17,317.25,415.61,234.37,4.79,,,"Péssima",13.333333333333334,400,2,,"Não encontrado"
"2a036061-8a22-4286-b145-a4bd596c474c","1-057ddde4054558fc6c21595922551ce2","sensor_002-room:002","29/02/24,18:34",6.34,9.29,3.32,1.52,0.61,1.42,0.24,2.38,0.21,4.77,32.3,71,"Boa",13.333333333333334,8.88888888888889,2,41.68879935638023,"Perigo:  cãibras e exaustão pelo calor são prováveis; a insolação é provável com atividade contínua."
"2a64f659-a4f1-4929-ba53-d7ac0e059ce7","2-668f7553d478aeca9c375eda537d8c89","sensor_001-room:001","01/03/24,17:06",4.12,5.51,2.14,2896.21,273.61,344.77,176.88,273.25,132.37,4.24,,,"Péssima",8.88888888888889,400,1.6,,"Não encontrado"
"2afcc394-e8d6-47fd-9c28-e029484e7510","2-2a2be4a5aa8d9c80974230fd2362d265","sensor_001-room:001","01/03/24,17:40",4.55,6.21,2.36,3410.19,312.21,388.25,204.06,302.77,152.23,4.38,,,"Péssima",8.88888888888889,400,1.6,,"Não encontrado"
"2bd5d027-1328-435d-b325-8110ea1b1c82","2-2af251a5c7492cf3118ebb0b2495e220","sensor_001-room:001","01/03/24,16:06",2.94,3.66,1.51,3518.89,320.22,397.2,209.74,308.8,156.37,3.72,,,"Péssima",8.88888888888889,400,1.6,,"Não encontrado"
"2c16f0d7-1415-4d73-9689-baac5cc47434","2-2ff7222ed51394128e5cf798d577cc45","sensor_001-room:001","01/03/24,16:15",3.16,4,1.63,3941.69,350.95,431.35,231.63,331.61,172.31,4.28,,,"Péssima",8.88888888888889,400,1.6,,"Não encontrado"
"2c6574dc-4ce6-43ed-86c6-7d78998510a5","2-f5daddc31d3960a5a9587e7b049c9dab","sensor_001-room:001","01/03/24,17:08",4.05,5.39,2.1,3152.41,293,366.68,190.5,288.19,142.32,4.26,,,"Péssima",8.88888888888889,400,1.6,,"Não encontrado"
"2ce0fc60-c67a-46fc-9091-4f092913fdcc","2-53639cde36b55ea9bda27526e60da886","sensor_001-room:001","01/03/24,16:43",4.29,5.78,2.22,3835.35,343.28,422.86,226.15,325.97,168.33,4.38,,,"Péssima",8.88888888888889,400,1.6,,"Não encontrado"
"2d71ec98-cb5e-4d1a-8450-4d0a5e1aee6b","2-044958ec081dbd1ca79a89ac692cb90d","sensor_001-room:001","01/03/24,17:54",5.28,7.44,2.75,4387.81,382.7,466.32,254.42,354.72,188.87,4.62,,,"Péssima",13.333333333333334,400,2,,"Não encontrado"
"2e2dd180-b58a-47f1-8b39-2029edd64efc","2-5070c23782c3eb909a698a38885359ae","sensor_001-room:001","01/03/24,17:18",4.29,5.78,2.22,3234.05,299.11,373.56,194.81,292.86,145.47,4.33,,,"Péssima",8.88888888888889,400,1.6,,"Não encontrado"
"2e6b26f0-8cd5-40cc-9803-f485d396ecd4","2-643cc00a4179f0220e3c38ce27576db0","sensor_001-room:001","01/03/24,13:46",8.93,14.06,4.72,22941.63,1455.82,1552.06,1081.8,1002.6,777.86,4.58,,,"Péssima",22.22222222222222,400,2,,"Não encontrado"
"2ef67963-d443-4563-97a0-9ca19098c9f3","1-ee165702ab0fc7731fa41c2948baf071","sensor_002-room:002","29/02/24,12:56",4.39,5.94,2.28,3.5,1.2,2.61,0.5,4.02,0.42,3.92,,,"Boa",8.88888888888889,17.77777777777778,1.6,,"Não encontrado"
"2f8c72d5-0d4d-463a-ada5-295c11556294","1-43fe597b33863af1c112a2118888b7d1","sensor_001-room:001","01/03/24,15:41",8.38,13.01,4.42,3.53,1.21,2.63,0.5,4.04,0.43,6.16,28,69,"Boa",17.77777777777778,17.77777777777778,2.4000000000000004,30.53506764574418,"Cuidado: a fadiga é possível com exposição e atividade prolongadas. A atividade contínua pode resultar em cãibras causadas pelo calor."
"3005ac7d-2371-4c12-841d-b19ae8a430ab","1-165bf0ebc665ca8f53be36358227afa1","sensor_001-room:001","01/03/24,15:46",10.54,17.19,5.6,3.43,1.19,2.57,0.49,3.97,0.41,6.62,28,68,"Boa",26.666666666666668,13.333333333333334,2.8000000000000003,30.40584262041286,"Cuidado: a fadiga é possível com exposição e atividade prolongadas. A atividade contínua pode resultar em cãibras causadas pelo calor."
"3018e142-1c0b-4642-b54c-2d4e95d8b080","1-25a2f003976be4cc3ebb875759691bbc","sensor_001-room:001","01/03/24,15:44",9.35,14.86,4.95,3.5,1.2,2.61,0.5,4.02,0.42,6.41,28,69,"Boa",22.22222222222222,17.77777777777778,2.4000000000000004,30.53506764574418,"Cuidado: a fadiga é possível com exposição e atividade prolongadas. A atividade contínua pode resultar em cãibras causadas pelo calor."
"30cede53-ce81-47d9-8747-0cdab1d8b70f","1-8a6e15135ec76a04b253a51cc3f348af","sensor_002-room:002","29/02/24,15:13",7.7,11.75,4.06,2.44,0.9,2.01,0.36,3.2,0.31,5.06,30.2,74,"Boa",17.77777777777778,8.88888888888889,2,36.579356690747176,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"3135ebec-5a3e-4381-93cd-a862302bc4c5","2-8e1666c5fc440f2f17a945f96c0cb415","sensor_001-room:001","01/03/24,17:36",5.49,7.8,2.87,4286.48,375.55,458.47,249.27,349.55,185.13,4.73,,,"Péssima",13.333333333333334,400,2,,"Não encontrado"
"31b1a8c2-1ef8-47bf-a4b2-cde97c732b2f","2-06dde8bb6682f3e2a12918909cabe2ea","sensor_001-room:001","01/03/24,14:42",8.14,12.56,4.29,7553.27,593.46,692.09,409.22,498.95,300.62,4.61,,,"Péssima",17.77777777777778,400,2,,"Não encontrado"
"32f91deb-6a02-4762-9c50-b407ee95f83d","1-35d365f0c419cd6c1d0b6703e9982d98","sensor_002-room:002","29/02/24,16:38",7.66,11.67,4.03,2.44,0.9,2.01,0.36,3.2,0.31,5.17,31.8,72,"Boa",17.77777777777778,8.88888888888889,2,40.54286356168484,"Perigo:  cãibras e exaustão pelo calor são prováveis; a insolação é provável com atividade contínua."
"33695902-618e-48a8-8698-8f2c589a00d7","2-ceba22b75081968a50dac356a7f88ec1","sensor_001-room:001","01/03/24,16:52",4.5,6.14,2.34,3880.58,346.55,426.48,228.49,328.37,170.02,4.42,,,"Péssima",8.88888888888889,400,1.6,,"Não encontrado"
"33bd9d21-e4c4-4d1b-bb48-ea21d60da94f","2-6e70996e394fdba9871150e60b4ad903","sensor_001-room:001","01/03/24,12:10",4.36,5.9,2.26,5255.18,442.73,531.66,297.92,397.27,220.4,5.29,,,"Péssima",8.88888888888889,400,2,,"Não encontrado"
"33d9d9e3-219f-42e6-8fbb-f33a78728b8c","1-9222ecfb2481f9a6315a2eff0c752229","sensor_002-room:002","29/02/24,16:03",7.72,11.78,4.07,3.26,1.14,2.48,0.46,3.84,0.4,5.17,30.8,73,"Boa",17.77777777777778,13.333333333333334,2,37.957135680473826,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"33e164ca-6970-4932-bcb1-8e67f4fb1fbf","2-272bc9b0b925a3e51e77114dbe71b44d","sensor_001-room:001","01/03/24,16:45",4.3,5.81,2.23,3724.49,335.25,413.94,220.42,320.02,164.16,4.38,,,"Péssima",8.88888888888889,400,1.6,,"Não encontrado"
"3502a89d-d37f-472d-9b6e-afddc234661f","2-81ac76790cf3b1e105cf4a467019b918","sensor_001-room:001","01/03/24,17:34",5.35,7.56,2.79,3820.38,342.2,421.66,225.38,325.17,167.76,4.65,,,"Péssima",13.333333333333334,400,2,,"Não encontrado"
"3576fb27-e00b-4cfb-bc28-e987d9b387a5","1-1049985e8465420e0f07f98e3916c5a5","sensor_001-room:001","01/03/24,16:03",2.73,3.34,1.4,7.38,2.2,4.49,0.95,6.42,0.8,3.59,,,"Boa",4.444444444444445,31.111111111111114,1.6,,"Não encontrado"
"35a36a88-0ca1-40f1-8d2b-37651e4a238a","2-5c3f4bbb6f0845c55f5c16ed6566aa71","sensor_001-room:001","01/03/24,17:49",5.26,7.41,2.74,4154.9,366.21,448.19,242.56,342.77,180.26,4.59,,,"Péssima",13.333333333333334,400,2,,"Não encontrado"
"3604e96a-3286-4e2d-9246-3041b5837420","2-8359b9f394d124c87e5be154e4fcb80e","sensor_001-room:001","01/03/24,17:32",5.49,7.8,2.87,4203.77,369.68,452.02,245.05,345.3,182.07,4.74,,,"Péssima",13.333333333333334,400,2,,"Não encontrado"
"366c35c7-66a6-45be-aee8-9481f6bf2bc4","2-270d96a1879cbab8dd797358f83547b8","sensor_001-room:001","01/03/24,16:18",3.15,3.98,1.62,3259.59,301.02,375.7,196.15,294.31,146.45,4.21,,,"Péssima",8.88888888888889,400,1.6,,"Não encontrado"
"383c0395-1fa5-45ee-bd3e-861c1f5517ec","2-72bb73d5541553bc3f94c50ad9f3e6af","sensor_001-room:001","01/03/24,17:30",5.8,8.33,3.03,3768.46,338.44,417.49,222.7,322.38,165.81,4.8,,,"Péssima",13.333333333333334,400,2,,"Não encontrado"
"3a35f001-bb11-40b3-9d28-8aa3562905c1","2-d138db309de9bd8222ad60af729a0c24","sensor_001-room:001","01/03/24,16:22",3.69,4.82,1.91,3666.64,331.04,409.26,217.43,316.88,161.97,4.33,,,"Péssima",8.88888888888889,400,1.6,,"Não encontrado"
"3a846c57-d498-472f-8dfb-56212737b894","2-bcdc9e8d5dbefad65a91e25116967194","sensor_001-room:001","01/03/24,16:46",4.41,5.98,2.29,3673.83,331.56,409.84,217.8,317.27,162.24,4.4,,,"Péssima",8.88888888888889,400,1.6,,"Não encontrado"
"3ad3ce16-1add-464d-88ec-b03a93f7d5b5","1-bfc0dbba3a5bf58f2371759ba37422f6","sensor_001-room:001","01/03/24,16:02",3.2,4.06,1.65,11.36,3.11,6.14,1.39,8.41,1.15,3.78,,,"Moderada",8.88888888888889,80,1.6,,"Não encontrado"
"3b080886-3cbd-4eb2-ac12-fedadd50bdbe","2-5bdc4c1a4eef98efd8932148487958b7","sensor_001-room:001","01/03/24,17:55",5.54,7.89,2.89,4733.49,406.88,492.75,271.87,372.02,201.53,4.76,,,"Péssima",13.333333333333334,400,2,,"Não encontrado"
"3beb48c0-26f2-46ab-8b13-6e13a034835d","2-79937a266787608e011ccee4fd181468","sensor_001-room:001","01/03/24,18:04",5.74,8.23,3,5474.47,457.59,547.7,308.77,407.61,228.24,4.78,,,"Péssima",13.333333333333334,400,2,,"Não encontrado"
"3c8bb5b6-63fb-4ef4-9d3b-e5a7902aad92","2-3bcb7f00843fbfe540e2b1b5240df0b8","sensor_001-room:001","01/03/24,16:04",2.75,3.38,1.41,603.2,77.05,110.21,44.82,101.99,34.57,3.55,,,"Péssima",4.444444444444445,400,1.6,,"Não encontrado"
"3ca9c794-0bfe-4491-bc80-f8ff62df6de2","2-a4e589d5a7995a3fb549a7f8bb0de00b","sensor_001-room:001","01/03/24,18:04",5.63,8.04,2.94,5390.33,451.9,541.57,304.61,403.66,225.24,4.78,,,"Péssima",13.333333333333334,400,2,,"Não encontrado"
"3d95cd36-da47-416d-84c9-844c09964735","2-11d87a2cf46059f00cd211a214fd44ee","sensor_001-room:001","01/03/24,16:05",2.67,3.26,1.37,2361.08,231.99,297.19,147.93,240.34,111.14,3.57,,,"Péssima",4.444444444444445,400,1.6,,"Não encontrado"
"3e13d67e-078c-457b-bef1-a35783fa95ed","2-181643ea9ce70f719a98272844a798a2","sensor_001-room:001","01/03/24,16:55",4.73,6.51,2.46,4195.59,369.1,451.38,244.64,344.87,181.77,4.57,,,"Péssima",8.88888888888889,400,2,,"Não encontrado"
"3ed0f5b8-8698-41eb-8579-61206fe7e72d","2-0673ab1b11107fb53a499efededc38f5","sensor_001-room:001","01/03/24,16:34",3.89,5.14,2.01,3880.58,346.55,426.48,228.49,328.37,170.02,4.34,,,"Péssima",8.88888888888889,400,1.6,,"Não encontrado"
"3ffa0960-8679-4eba-a4a8-b518a7d322e9","1-d719a38aff5090c4e0a2027a4e6bead5","sensor_002-room:002","29/02/24,13:17",7.46,11.3,3.92,2.48,0.91,2.03,0.37,3.24,0.31,5.53,29.8,75,"Boa",17.77777777777778,8.88888888888889,2.4000000000000004,35.757227789305055,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
